É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/12/18 17:54:59

,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
îNåé,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœëSìVì˙éÀó (MJ/áu),ïΩãœëSìVì˙éÀó (MJ/áu),ïΩãœëSìVì˙éÀó (MJ/áu),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2007/1,7.6,8,1,9.1,8,1,10.9,8,1,4.6,8,1,15.0,8,1,2.0,8,1,42.0,0,8,1,175.6,0,8,1,0,1,8,1,0,1,8,1,3.4,8,1,13.6,8,êºñkêº,8,1
2007/2,8.6,8,1,12.3,8,1,12.8,8,1,5.0,8,1,17.3,8,1,0.2,8,1,57.0,0,8,1,193.6,0,8,1,0,1,8,1,0,1,8,1,3.8,8,1,11.2,8,ñk,8,1
2007/3,10.8,8,1,14.9,8,1,15.0,8,1,6.8,8,1,24.1,8,1,2.6,8,1,77.0,0,8,1,195.0,0,8,1,0,1,8,1,0,1,8,1,4.1,8,1,13.2,8,ìÏêº,8,1
2007/4,13.7,8,1,15.2,8,1,17.9,8,1,9.9,8,1,25.8,8,1,4.0,8,1,134.0,0,8,1,151.0,0,8,1,0,1,8,1,0,1,8,1,4.1,8,1,11.9,8,êºñkêº,8,1
2007/5,19.8,8,1,19.6,8,1,24.0,8,1,16.0,8,1,29.0,8,1,13.0,8,1,115.5,0,8,1,226.4,0,8,1,0,1,8,1,0,1,8,1,3.6,8,1,12.3,8,ñkêº,8,1
2007/6,23.2,8,1,18.3,8,1,27.1,8,1,20.0,8,1,31.5,8,1,15.7,8,1,80.0,0,8,1,187.2,0,8,1,0,1,8,1,0,1,8,1,3.1,8,1,8.8,8,ñkñkêº,8,1
2007/7,24.4,8,1,11.1,8,1,27.4,8,1,21.8,8,1,32.7,8,1,18.2,8,1,253.0,0,8,1,80.6,0,8,1,0,1,8,1,0,1,8,1,2.9,5,1,10.1,8,ñk,8,1
2007/8,29.0,8,1,18.2,8,1,33.0,8,1,25.9,8,1,37.5,8,1,23.1,8,1,9.5,0,8,1,227.9,0,8,1,0,1,8,1,0,1,8,1,3.3,8,1,9.4,8,ìå,8,1
2007/9,25.2,8,1,11.8,8,1,28.5,8,1,22.4,8,1,32.9,8,1,15.7,8,1,319.5,0,8,1,121.3,0,8,1,0,1,8,1,0,1,8,1,4.0,8,1,14.9,8,ìåìÏìå,8,1
2007/10,19.0,8,1,9.8,8,1,22.2,8,1,16.1,8,1,26.5,8,1,12.8,8,1,135.5,0,8,1,119.8,0,8,1,0,1,8,1,0,1,8,1,3.3,8,1,12.7,8,ñk,8,1
2007/11,13.3,8,1,8.8,5,1,16.6,8,1,10.2,8,1,21.2,8,1,4.6,8,1,37.0,0,8,1,148.8,0,8,2,0,1,8,1,0,1,8,1,2.5,5,2,9.7,8,ñkêº,8,1
2007/12,9.0,8,1,8.1,8,1,12.6,8,1,5.6,8,1,15.8,8,1,2.7,8,1,72.0,0,8,1,168.8,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,10.4,8,ñkêº,8,1
2008/1,5.9,8,1,8.7,8,1,9.4,8,1,2.7,8,1,13.9,8,1,0.8,8,1,17.5,0,8,1,164.8,0,8,2,0,1,8,1,0,0,8,1,2.8,8,2,11.8,8,ñkêº,8,1
